Document Code,Meeting Code,会议类型,Expense Code,费用类型,Issue Code,问题类型,SOP描述,标准处理方法,"向员工展示的问题描述（合并问题描述和处理方法）"
MN010001,01,学术论坛,00,会议整体,01,会议权限_学术论坛,根据SOP规定，学术论坛可举办的组织者岗位为地区业务销售经理及以上、市场、医学、临床运营、市场准入和商务，您无权限举办此类型会议,请提供逐级审批至部门负责人的授权邮件并抄送合规,根据SOP规定，学术论坛可举办的组织者岗位为地区业务销售经理及以上、市场、医学、临床运营、市场准入和商务，您无权限举办此类型会议。请提供逐级审批至部门负责人的授权邮件并抄送合规。
MN010011,01,学术论坛,00,会议整体,11,会议议程_变更,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件,请提供,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件。请提供。
MN010012,01,学术论坛,00,会议整体,12,会议议程_不一致,会议议程内容与系统填报的实际会议情况不一致,请确认并提供更新的会议议程,会议议程内容与系统填报的实际会议情况不一致。请确认并提供更新的会议议程。
MN010013,01,学术论坛,00,会议整体,13,会议议程_不完整,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人,请补充提供,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人。请补充提供。
MN010014,01,学术论坛,00,会议整体,14,会议议程_时长不足,根据SOP规定，学术论坛会议时长需≥ 半天（2-4H）,请确认,根据SOP规定，学术论坛会议时长需≥ 半天（2-4H）。请确认。
MN010021,01,学术论坛,00,会议整体,21,会议地点_不得跨区,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批,请提供,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批。请提供。
MN010022,01,学术论坛,00,会议整体,22,会议地点_禁止景区,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议,不符合要求不予报销,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议。不符合要求不予报销。
MN010023,01,学术论坛,00,会议整体,23,会议地点_禁止场所,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动,不符合要求不予报销,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动。不符合要求不予报销。
MN010031,01,学术论坛,00,会议整体,31,会议签到_系统人数不一致,系统实际内外部参会人数与签到表不一致,请确认实际内外部参会人数，并解释说明,系统实际内外部参会人数与签到表不一致。请确认实际内外部参会人数，并解释说明。
MN010032,01,学术论坛,00,会议整体,32,会议签到_整场未电子签到,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件,请提供,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件。请提供。
MN010033,01,学术论坛,00,会议整体,33,会议签到_缺线下签到原件,根据SOP规定，线下签到单原件需邮寄至我司,请将原件邮寄至我司，邮寄后提供快递单号,根据SOP规定，线下签到单原件需邮寄至我司。请将原件邮寄至我司，邮寄后提供快递单号。
MN010034,01,学术论坛,00,会议整体,34,会议签到_线下签到缺审批,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字,将为您寄回线下签到表，请补充签字后原件寄回我司,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字。将为您寄回线下签到表，请补充签字后原件寄回我司。
MN010041,01,学术论坛,00,会议整体,41,会议照片_缺水印,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题。请补充提供，如不符合要求将不予报销。
MN010042,01,学术论坛,00,会议整体,42,会议照片_缺会议主题,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗。请补充提供，如不符合要求将不予报销。
MN010043,01,学术论坛,00,会议整体,43,会议照片_缺付费讲者,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议,请补充提供，如不符合要求将不予报销,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议。请补充提供，如不符合要求将不予报销。
MN010044,01,学术论坛,00,会议整体,44,会议照片_水印与议程不一致,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致。请补充提供，如不符合要求将不予报销。
MN010045,01,学术论坛,00,会议整体,45,会议照片_人数标准不符,根据SOP规定，学术论坛会议照片需显示50%及以上参会人员（内+外）,请补充提供，如不符合要求将不予报销,根据SOP规定，学术论坛会议照片需显示50%及以上参会人员（内+外）。请补充提供，如不符合要求将不予报销。
MN010051,01,学术论坛,00,会议整体,51,会议人数_内部人数不符,根据SOP规定，学术论坛内部参会者不可少于2人（包含会议组织者）,请确认实际内部参会人数,根据SOP规定，学术论坛内部参会者不可少于2人（包含会议组织者）。请确认实际内部参会人数。
MN010052,01,学术论坛,00,会议整体,52,会议人数_外部人数不符,根据SOP规定，学术论坛外部外部参会者可以跨城市、跨医院、跨科室的HCP共同参与，外部参会人数不少于5人,请确认实际外部参会人数,根据SOP规定，学术论坛外部外部参会者可以跨城市、跨医院、跨科室的HCP共同参与，外部参会人数不少于5人。请确认实际外部参会人数。
MN010061,01,学术论坛,00,会议整体,61,报销范围_时效,根据SOP规定，原则上公司仅承担学术活动会议议程前后24小时内所产生的相关费用，例外事项需提供部门负责人及合规审计总监的共同批准,如需报销请提供特批,根据SOP规定，原则上公司仅承担学术活动会议议程前后24小时内所产生的相关费用，例外事项需提供部门负责人及合规审计总监的共同批准。如需报销请提供特批。
MN010062,01,学术论坛,00,会议整体,62,报销范围_费用,根据SOP规定，学术论坛可报销费用有讲课费、餐饮、住宿费、场租和交通费,额外费用不予报销已为您扣除,根据SOP规定，学术论坛可报销费用有讲课费、餐饮、住宿费、场租和交通费。额外费用不予报销已为您扣除。
MN010101,01,学术论坛,01,会议讲课费,01,非讲者库讲者,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库,不符合要求不予支付讲课费,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库。不符合要求不予支付讲课费。
MN010102,01,学术论坛,01,会议讲课费,02,业务约定书不完整,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司,请提供,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司。请提供。
MN010103,01,学术论坛,01,会议讲课费,03,讲者人数超标,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%,请确认，并告知需扣除讲课费的HCP姓名,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%。请确认，并告知需扣除讲课费的HCP姓名。
MN010104,01,学术论坛,01,会议讲课费,04,主席和点评嘉宾人数超标,根据SOP规定，支付讲课费的主席和点评专家的总数不得超过讲者总数,请确认，并告知需扣除讲课费的HCP姓名,根据SOP规定，支付讲课费的主席和点评专家的总数不得超过讲者总数。请确认，并告知需扣除讲课费的HCP姓名。
MN010105,01,学术论坛,01,会议讲课费,05,讲者未全程参会,根据SOP规定，支付讲课费的专家需全程参会，并签到,请补充提供签到，不符合要求不予支付讲课费,根据SOP规定，支付讲课费的专家需全程参会，并签到。请补充提供签到，不符合要求不予支付讲课费。
MN010106,01,学术论坛,01,会议讲课费,06,演讲时长不达标,根据SOP规定，学术论坛讲者讲课时间（包括手术演示、讨论问答）需≥20分钟,不符合要求不予支付讲课费,根据SOP规定，学术论坛讲者讲课时间（包括手术演示、讨论问答）需≥20分钟。不符合要求不予支付讲课费。
MN010107,01,学术论坛,01,会议讲课费,07,点评时长不达标,根据SOP规定，学术论坛点评专家限全国级和区域级HCP，且点评时长累计需≥10分钟，,不符合要求不予支付讲课费,根据SOP规定，学术论坛点评专家限全国级和区域级HCP，且点评时长累计需≥10分钟，。不符合要求不予支付讲课费。
MN010108,01,学术论坛,01,会议讲课费,08,点评专家讲课费标准,根据SOP规定，学术论坛点评专家的讲课费支付标准为80%*职级标准,将为您扣除差额,根据SOP规定，学术论坛点评专家的讲课费支付标准为80%*职级标准。将为您扣除差额。
MN010109,01,学术论坛,01,会议讲课费,09,主席参会时长,"根据SOP规定，学术论坛主席限全国级和区域级HCP中主任医师、副主任医师,且原则上应全程参加活动并致辞发言，",不符合要求不予支付讲课费,"根据SOP规定，学术论坛主席限全国级和区域级HCP中主任医师、副主任医师,且原则上应全程参加活动并致辞发言，。不符合要求不予支付讲课费。"
MN010201,01,学术论坛,02,会议餐费,01,缺餐厅门头照,根据SOP规定，会议餐费需提供餐厅门头照,请提供,根据SOP规定，会议餐费需提供餐厅门头照。请提供。
MN010202,01,学术论坛,02,会议餐费,02,餐费与会议时间不相连,根据SOP规定，会议餐费用餐时间应与会议时间相连，且与正常午餐或晚餐时间相近,请解释说明,根据SOP规定，会议餐费用餐时间应与会议时间相连，且与正常午餐或晚餐时间相近。请解释说明。
