Document Code,Meeting Code,会议类型,Expense Code,费用类型,Issue Code,问题类型,SOP描述,标准处理方法,"向员工展示的问题描述"
EN000101,00,个人,01,月度交通费（销售/SMO/CO),01,燃油费行程问题,根据SOP规定，月度交通费报销燃油费需提供每张燃油费的使用时间区间，行程为医院的需具体到科室,请根据要求在评论区将行程补充完整,根据SOP规定，月度交通费报销燃油费需提供每张燃油费的使用时间区间，行程为医院的需具体到科室。请根据要求在评论区将行程补充完整。
EN000102,00,个人,01,月度交通费（销售/SMO/CO),02,出租车行程问题,根据SOP规定，月度交通费报销出租车费用，需注明具体的行程地点和事由，行程为医院的，应明确注明拜访医院及科室,请根据要求补充至HLY评论区,根据SOP规定，月度交通费报销出租车费用，需注明具体的行程地点和事由，行程为医院的，应明确注明拜访医院及科室。请根据要求补充至HLY评论区。
EN000103,00,个人,01,月度交通费（销售/SMO/CO),03,网约车行程问题,根据SOP规定，月度交通费报销网约车费用，行程为医院的，应明确注明拜访医院及科室，并提供事由,请根据要求补充至HLY评论区,根据SOP规定，月度交通费报销网约车费用，行程为医院的，应明确注明拜访医院及科室，并提供事由。请根据要求补充至HLY评论区。
EN000104,00,个人,01,月度交通费（销售/SMO/CO),04,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单。请补充提供，无法提供将不予报销。
EN000105,00,个人,01,月度交通费（销售/SMO/CO),05,当月总额超限额,根据SOP规定，月度交通费超过标准限额，如需报销，需补充提供部门负责人的特批,请提供,根据SOP规定，月度交通费超过标准限额，如需报销，需补充提供部门负责人的特批。请提供。
EN000201,00,个人,02,交通费-市内,01,出租车行程问题,根据SOP规定，驻地内产生的出租车，公共汽车、地铁等发票，报销时需列明行程和事由,请根据要求补充至HLY评论区,根据SOP规定，驻地内产生的出租车，公共汽车、地铁等发票，报销时需列明行程和事由。请根据要求补充至HLY评论区。
EN000202,00,个人,02,交通费-市内,02,网约车行程问题,根据SOP规定，驻地内产生的网约车费用发票，报销时需要提供行程单和事由,请根据要求补充至HLY评论区,根据SOP规定，驻地内产生的网约车费用发票，报销时需要提供行程单和事由。请根据要求补充至HLY评论区。
EN000203,00,个人,02,交通费-市内,03,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单。请补充提供，无法提供将不予报销。
EN000204,00,个人,02,交通费-市内,04,OT打车问题,根据SOP规定，工作到晚上19:30分后可以报销回家出租车费，您的OT打车费用不符合要求,请确认后为您扣除,根据SOP规定，工作到晚上19:30分后可以报销回家出租车费，您的OT打车费用不符合要求。请确认后为您扣除。
EN000301,00,个人,03,电话费,01,非套餐话费超标&充值发票,根据SOP规定，报销话费金额大于350元或发票为充值发票，需要提供话费明细账单；,请补充上传至HLY评论区,根据SOP规定，报销话费金额大于350元或发票为充值发票，需要提供话费明细账单；。请补充上传至HLY评论区。
